"Ulan Wifi'ye bağlıyım ben. Ona bağlıyken Turkcell internet paketin bitti diye nasıl mesaj atabilir bana ya? Onu da mı ödeyelim","olumsuz"
"20 dk 1 GB internet 500 mb sadece kaşar turkcell de düşer. Oç çocukları.","olumsuz"
"Ayrıca turkcell superonline reklamı kadar da kötü bir reklam görmemiştim","olumsuz"
"Turkcell çok pahalı ya","olumsuz"
"Turkcell Kaş'ta internetin cekmiyor","olumsuz"
"Turkcell'in Allah belası versin demek isterdim ama demicem. Demedim farzedin. Nasıl bir internettir bu ya yüreğim şişti!","olumsuz"
"Canın cehenneme turkcell","olumsuz"
"Turkcell yönetimini eline geçiren AKP hükümeti, abonelere seçim propagandası mesajları gönderiyor","olumsuz"
"Turkcell şerefsizdir aksini iddia eden turkcelldir","olumsuz"
"Turkcell'den elimi ayağımı çektiğim iyi oldu","olumsuz"
"Senin turkcell gibi allah belanı versin","olumsuz"
"Bayramdan sonra vodafone geçiyorum turkcell kazıkçı amk","olumsuz"
"Of evin her köşesinden Turkcell geçiyor bizi kazıklamalarıyla kalmayıp birde internetleri düşük hızlı","olumsuz"
"Hay senin turkcell gibi çekim gücünü ... Nalet olsun","olumsuz"
"Şehir dışındayım burada da turkcell internet çekmiyor. Bide turkcell fuul çekiyor diyorlar","olumsuz"
"Turkcell senin ben amk 10 dakikalık videoyu izlemek icin yarım saat dolmasını bekliyorum","olumsuz"
"Turkcell 'e bağlanmak amerikaya gitmekten daha zor","olumsuz"
"Su turkcell durduk yere kac lirami yedi ya kafasina gore paralar cekiyo","olumsuz"
"Turkcell im lan her saatte araman ayıp değil mi? Nalet .","olumsuz"
"turkcell gittikçe, iyice saçmalamaya başladım diyor","olumsuz"
"Kendimi kurtardığıma en çok sevindiğim kurumlar 3 turkcell 2 digiturk 1 garanti","olumsuz"
"Turkcell'in interneti kadar rezil bir şey olamaz","olumsuz"
"turkcell mal ya köyde çekmeyeceksen hiçbi yerde çekme","olumsuz"
"Reklamlarında sürekli çocukları ve yerel değerleri kullanan Turkcell'e ayar oluyorum.","olumsuz"
"Yaylada telefon çekmiyor sözde toroslarda turkcell 4 çekiyor","olumsuz"
"Sahrayıceditin göbeğinde tek çentik çeken turkcell dört 4.5 g ye geçmiş sen önce çekim gücünü yükselt sonra geçmesi kolay","olumsuz"
"Turkcell kullanan geri zekalıdır. İnterneti biraz daha hızlı diye niye 23 lira vermek varken 35 lira vereyim ams salak mıyım ben","olumsuz"
"Türk operatörleri tıpkı AB'deki operatör türevleri gibi halka hediye olarak ürün sunmalı. Yıllardır halkı sömüren Turkcell ne yaptı?","olumsuz"
"Turkcell'in müşteri hizmetleri kalitesi felaket .. Şimdi Face hesabımdan aynı yazıyı tüm arkadaşlarımla paylaşacağım","olumsuz"
"Ne malsın turkcell yaa ağzıma ettin ressmen","olumsuz"
"Turkcell 10G de yapsa bu internet düzelmez. Bir fotoğrafın açılması yarım saat sürüyor","olumsuz"
"Hani turkcell heryerde çekiyordu","olumsuz"
"Acaba benim hattım neden kendi üstümde deyil bu turkcell in kazıklarından bıktım amk baba duy sesimi","olumsuz"
"En kazık operatör Turkcell'dir aksini idda eden olmasın","olumsuz"
"turkcell kadar şerrefsiz bi operatör daha yok","olumsuz"
"Çiftehan da turkcell neden çok az cekiyor","olumsuz"
"Turkcell kadar mal bi operatör yok aq","olumsuz"
"Numaramı değiştiriyorum yeter. Turkcell amk.","olumsuz"
"Cart parası curt parası diye sürekli faturama geçiren turkcell sana da çok sövdüm.","olumsuz"
"30 liraya sınırsız internet yaptırdım sanırım turkcell yine kazık attı yine keklendim arkadaşlar","olumsuz"
"Ve bu köşede de yavaşlıktan ölen bir adet Turkcell","olumsuz"
"Turkcell'in amk niye çekmiyor bu internet","olumsuz"
"Turkcell çekmiyooo kahretsin","olumsuz"
"Turkcell sömürüyor bildiğin","olumsuz"
"Turkcell allah belanı versin","olumsuz"
"turkcell in allah belasını versin bu da ilk bedduamdır","olumsuz"
"@Turkcell Yalan söyleyen, sigortalı telefonumu sigorta kapsamında değil diyerek geri çeviren Turkcell'den hala ses seda yok","olumsuz"
"Eve geldim hala turkcell deki adama sinirim geçmedi ..","olumsuz"
"Turkcell her yerde çeker diyorsunuz lan evin ortasında şahin pozu aldım yine de çekmiyor","olumsuz"
"Turkcell e gectigim icin pismanim","olumsuz"
"Allahin belası kazık turkcell !!!!","olumsuz"
"İnternet paketini sömürüyor yine allahsız turkcell","olumsuz"
"Turkcelle geçtim turkcell evde çekmiyo aq","olumsuz"
"Ne biçim Turkcell'sin sen ya şehirdeyim çekmiyor.","olumsuz"
"Klozette edge cekiyor turkcell bu ne sacmalik","olumsuz"
"Turkcell abv odam da bile çekmemeye başladın gerçekten","olumsuz"
"Turkcell superonline bok gibisin bok","olumsuz"
"Turkcell urunu kullanirsam en adi serefsizim!","olumsuz"
"Turkcell çekmiyor arkadaşlar inanmayın","olumsuz"
"Turkcell allah belanı versin, bin yaşa VODAFONE","olumsuz"
"söylesene Turkcell odamda neden çekmiyorsun?","olumsuz"
"hiç bir oparetör dürüst değil turkcell faturama internet paketimi aşmışım diye 13 tl kitledi sözde otamatik duracakdı sahtekarlar","olumsuz"
"ulan bu gerizekalı turkcell kardeşimin öldüğüne dair eve yazı yollamış.","olumsuz"
"Bitmeyen fatura yapmışlar ömrüm sizi ödemekle geçiyor heleki Turkcell Allah senin belanı Tövbe Tövbe ya","olumsuz"
"turkcell son zamanlarda iyice cortladı. internet hızı rezalet, yer yer hiç çekmiyor. kontratım bittiği an vodafone'a geçeceğim.","olumsuz"
"Bu ay Turkcell'den yemediğim kazığı yedim. 50 lira yükledim ama gelin görünki elde var 0. Bir de şu İMessage uyanıklığı var tabii.","olumsuz"
"Bugün Mutluydum Ama Bu Turkcell beni Sinir etti Şuanda","olumsuz"
"Turkcell benim internetim bu hafta niye böyle yavaş!!!","olumsuz"
"Yıldım vallaha yıldım Allah telefonumun da turkcell'in de belasını versin","olumsuz"
"Turkcell internet bağlantı hızında açık ara sınıfta kaldı, çok yazık !!! Ne eziyet çekmişim!!!","olumsuz"
"Vodafone gibi Turkcell yapmışlar olmamış bu","olumsuz"
"6 7 senedir turkcell kullanıyorum ama allah belani versin haram zıkkım olsun verdiğim paralar","olumsuz"
"Turkcell Samsun da zor çekiyo adada nasıl çeksin bırakın bu ayakları","olumsuz"
"Turkcell ne geçirdi beeee","olumsuz"
"Turkcell galiba bana gelince internet paketini yavaşlatıyor","olumsuz"
"Hani turkcell heryerde 4 çekerdi metroda telefonla konuşamıyoruz bunu bana biri açıklasın","olumsuz"
"Turkcell reklam mesajları için numaramı sattıgın her firma için Allah belanı versin!!!","olumsuz"
"Ulan turkcell odedigim faturalar haram olsun bole net hızı olmaz olsun!!!","olumsuz"
"yemin ederim bu turkcell müşteri hizmetleri bir ton otistik ve moronla dolu","olumsuz"
"Embesil Turkcell bu saatte mesaj mı yollanır üstüste !","olumsuz"
"Çekim gücüne sövmemek için zor tutuyorum kendimi turkcell","olumsuz"
"Ömrümü yedin turkcell","olumsuz"
"@pelinozgen gayrettepe'nin göbeğinde bırakın 3G'yi edge hızına bile erişemiyor turkcell.. neyin kandırmacası bu?","olumsuz"
"Lan odada avea çekmiyo diye turkcelle geçtim şimdide turkcell çekmiyo avea full başlarım böyle işe","olumsuz"
"Ya benim odamda telefon çekmiyor arkadaşlar.(Turkcell) Resmen 50 yıl geride yaşıyorum ben.","olumsuz"
"Hattımı tekrar Avea mı alsam, yoksa bu sefer de Vodafone mu denesem. Turkcell'e bulasmıyorum bile. Kafamda deli sorular","olumsuz"
"#turkcell ayricaliklari neymis diye bakabilmek icin #avea hattina muhtac olan ben... evet turkcell dort ceker olayi yalanmis...","olumsuz"
"Turkcell reklamları kadınları neden bu kadar çok aşşağılıyor güllerin içinden yoksa vermez kucaktan kucağa zıplattılar kızı","olumsuz"
"Turkcell türk telekom arena' da bile internetin kağnı gibi.sana verdiğim para haram olsun...","olumsuz"
"Kandırdın beni turkcell,her şey bitti","olumsuz"
"Yaşasın yarın vodafone'a geçme kararı aldım. turkcell'e para yedirmeye son :DD","olumsuz"
"Ulan on numara mekan sıcak suyum bile var ama şebekem yok amk turkcell vodafone'ye geccem kesin","olumsuz"
"Önemli şahıstan mesaj beklersin beklersin Çat mesj gelir bir an heyecanla o mu acaba diye bakarsın sonra Turkcell olduğunu görünce söversin!","olumsuz"
"8 senedir kullandığım Turkcell numaramı Vodafone'a taşıdım gerçekten iyi bi karar oldu insanları sömürüyorlar ya ücretlendirme normal değil.","olumsuz"
"Turkcell bile ygsye sayılı günler kaldı diye mesaj atıyo. Amacanız bizi çıldırtmak mı?","olumsuz"
"Geçerken arasından dağların tepelerin, geldi veda zamanı Turkcell 3G'nin.... :/ bu devirde edge mi kaldı yeaa","olumsuz"
"Turkcell'in reklamlarında müthiş bir kalite düşüklüğü var. Reklam fikri de parlak değil, Prodüksiyon da başarısız.","olumsuz"
"Turkcell'in hani interneti hızlıydı,kandırıldım","olumsuz"
"Turkcell artık yeter .Bıktırdı reklam ve aday mesajları.24 saat gece gündüz yağıyor.Numaramı satıp sen para kazanıyorsun ben çıldırıyorum.","olumsuz"
"Yandaş, yalaka hale gelen turkcell kullanmıyorum kullanılmasını tavsiye etmiyorum","olumsuz"
"Turkcell sadece kazikliyosun Hizmet sifir ttnet gibi yolmaya basladin bizi hepinizin Allah belasini versin anca semsiye sokuyosunuz insana","olumsuz"
"Lanet olsun sana Turkcell yaaa ! O kadar para veriyoruz internet Felç ! Hakkını verin Hız limitimi nasıl düşürüyorsun dolandırıcısınız","olumsuz"
"Sabahtan beri net paketi yaptim halde internetimi kullanmadim abv turkcell","olumsuz"
"Turkcell yine çekmiyor. Aldıkları para boşuna","olumsuz"
"Turkcell su kontratım bitsin turkcell mi tövbe","olumsuz"
"Turkcell'in reklam filmi, Fatih'in Fedaisi Kara Murat filminden daha heyecanlı yeminle... Eziyet resmen","olumsuz"
"beni uğraştıran turkcell ve apple bir tutam küfürü hakettiniz(bedeli ödendi)","olumsuz"
"şuan çok sinirliyim aq şu turkcell şerefsizi internet paketimi bitirdikten sonra sosyal paketimden kullanmaya başlayabildim abv","olumsuz"
"Digitürk ttnet turkcell 5 para etmezsiniz alayınızın amk","olumsuz"
"Turkcell denen illet nedir bilirmisin internet paketim bitti benimle gelirmisin.","olumsuz"
"Turkcell internetin bitti diye mesaj atıp durma moralim bozuluyor pislik","olumsuz"
"8 sene bu turkcell in kahrını nasıl çekmişim amk yaa","olumsuz"
"Turkcell daha demin seni övdüm ama şimdi sövüyorum. Yaptığım paket değişmiş whywhyhwy. Abv turkcel","olumsuz"
"Turkcell yeter amk eski sevgilimden daha çok mesaj atıyosun","olumsuz"
"Turkcell'den kurtulmuş biri olarak çok yanlış insanı arıyorsunuz #turkcell","olumsuz"
"turkcell yavaş internette 1 numara","olumsuz"
"Allah belanı versin turkcell","olumsuz"
"Turkcell 3G'nin şu ara sıçtığını düşünüyorum..","olumsuz"
